Age,Education,Default,Balance,Housing,Loan,Duration,Campaign,Pdays,Previous,Poutcome,Deposit,Job_management,Job_blue-collar,Job_technician,Job_admin,Job_services,Job_retired,Job_self-employed,Job_student,Job_umemployed,Job_entrepreneur,Job_housemaid,Married,divorced,Contact_cellular,Contact_telephone,Season_1,Season_2,First half of month
43,1,0,-192,1,0,1120,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
37,2,0,381,1,0,985,2,-1,0,unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
35,2,0,40,1,0,617,4,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,3,0,22,1,0,483,3,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,2,0,3,1,0,929,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
31,2,0,307,1,0,538,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
28,2,0,759,1,0,710,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,2,1,-1,1,0,653,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
60,1,0,65,1,0,1028,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
26,2,0,82,1,0,654,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,2,0,10,1,0,1692,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
33,1,0,390,1,0,665,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
32,3,0,311,0,0,757,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,1,0,414,0,0,504,4,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
33,2,0,5,1,0,1346,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
38,3,0,119,1,0,568,4,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
23,1,0,4,1,0,395,2,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
60,1,0,1262,1,1,1015,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
48,3,0,1949,1,0,683,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
45,3,0,-395,1,0,470,1,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
36,2,0,1165,1,0,1001,4,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
52,1,0,2240,1,0,845,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
35,1,0,300,1,0,945,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
43,2,0,3285,1,0,1721,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
52,2,0,3923,1,0,942,3,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
53,1,0,1443,1,0,476,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
48,1,0,24,1,0,832,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
41,1,0,1618,1,0,1553,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
39,3,0,517,1,1,1328,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
59,2,0,1521,1,1,1125,2,-1,0,unknown,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
41,2,0,2823,1,0,858,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
48,2,0,1405,1,0,629,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
40,2,0,1535,1,0,704,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
48,2,0,1596,1,0,760,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
60,1,0,1542,1,0,930,1,-1,0,unknown,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
40,1,0,3652,1,0,1028,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
57,3,0,-1,0,0,850,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
51,2,0,7180,1,0,927,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
41,2,0,5291,1,0,1423,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
41,2,0,1384,1,0,1162,4,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
52,1,0,-191,1,0,755,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
59,1,0,320,1,0,695,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
44,1,0,146,1,0,483,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
49,1,0,341,1,1,520,2,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
40,1,0,-9,1,0,920,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
41,1,0,-306,1,0,500,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
44,3,0,4580,1,0,911,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
60,1,0,313,1,0,920,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
29,3,0,10576,0,0,1224,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
41,1,0,-233,1,0,1156,2,-1,0,unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
41,1,0,2453,1,0,1052,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
42,2,0,1364,1,0,1867,6,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
36,1,0,281,1,0,515,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
39,3,0,94,1,1,813,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,3,0,144,1,0,676,1,-1,0,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
26,2,0,246,1,0,1143,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,2,0,92,1,0,688,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
29,2,0,163,1,1,803,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2,0,49,1,0,619,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
33,2,0,-416,1,0,767,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,2,0,409,1,0,912,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,2,0,363,1,0,1340,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,3,0,3706,1,0,897,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,3,0,4393,1,0,1297,3,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2,0,863,1,0,1193,5,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,1,0,695,1,1,1064,4,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
37,2,0,792,1,0,1187,4,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,2,0,1020,1,0,882,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,2,0,863,1,0,943,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,2,0,97,1,0,607,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,2,0,754,1,0,1022,4,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
43,2,0,1040,1,0,552,3,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
37,3,0,122,1,0,1622,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,3,0,880,1,1,967,6,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,2,0,501,1,0,579,5,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,2,0,4438,1,0,446,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,2,0,0,1,0,1205,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,2,0,271,1,0,1882,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
35,1,0,102,1,0,1334,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,2,0,2,1,0,182,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,2,0,4170,1,0,1777,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
34,2,0,85,1,0,1182,4,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,2,0,431,1,1,1045,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,2,0,982,1,0,650,3,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36,1,0,408,1,1,1063,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,1,0,4822,1,0,843,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
41,1,0,1250,1,0,1392,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,1,0,216,1,0,565,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,2,0,1207,1,0,905,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32,2,0,791,1,0,783,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,3,0,849,1,1,958,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,2,1,239,1,0,412,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2,0,1211,1,0,795,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,1,0,599,1,0,649,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,3,0,825,1,0,506,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,2,0,2183,1,1,857,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,1,0,4499,0,0,1681,1,-1,0,unknown,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
30,3,0,1289,1,0,1697,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,3,0,4665,1,0,860,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2,0,3326,1,0,799,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32,2,0,783,1,0,923,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,2,0,0,1,0,521,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,1,0,994,1,0,1349,8,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,3,0,1354,1,0,736,2,-1,0,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
30,2,0,239,1,0,785,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,1,0,-311,1,0,1030,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,2,0,149,1,0,893,3,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33,2,0,1464,1,0,588,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,3,0,5773,0,0,597,6,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,1,0,278,1,0,1015,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31,2,0,2910,1,0,1392,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,3,0,541,1,0,414,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,2,0,1262,1,0,788,11,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,2,0,-538,1,0,682,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
37,2,0,125,0,0,679,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
28,3,0,0,1,0,1560,2,-1,0,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,2,0,620,1,0,1234,3,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2,0,316,1,0,642,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,3,0,2287,1,0,895,4,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
38,2,0,198,1,0,431,2,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
28,2,0,460,1,0,741,6,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,3,0,1145,1,0,1272,4,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
59,2,0,-22,1,0,748,3,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
24,2,0,685,1,0,896,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,2,0,901,1,0,764,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
59,2,0,351,1,0,1063,5,-1,0,unknown,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30,1,0,0,1,1,1051,1,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
37,2,0,274,1,0,731,3,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30,2,0,-213,1,1,751,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2,0,97,1,0,709,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,2,0,51,1,1,3094,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
29,3,0,314,0,0,938,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
26,3,0,6840,1,0,1560,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,2,0,668,1,0,576,3,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,2,0,54,1,0,543,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25,2,0,1242,1,0,615,2,-1,0,unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,2,0,292,1,0,507,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
23,2,0,665,1,0,1183,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
34,3,0,1058,1,0,864,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,2,0,949,1,0,1730,1,-1,0,unknown,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,1,0,606,1,0,560,9,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
35,2,0,0,1,1,543,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35,2,0,404,1,0,539,1,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
56,2,0,249,1,0,791,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45,2,0,3354,1,0,746,1,-1,0,unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
60,2,0,0,1,0,1207,1,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,2,0,589,1,0,535,2,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
27,3,0,12956,1,0,789,3,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,2,0,873,1,0,792,3,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45,1,0,594,1,0,833,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
29,2,0,-20,1,0,814,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,3,0,4692,1,0,1363,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30,2,0,486,1,0,1109,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
44,1,0,1593,1,0,828,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,3,0,7606,1,0,917,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2,0,226,1,0,762,3,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,2,0,366,1,1,1133,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,2,0,16,1,0,638,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,3,0,565,1,0,763,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,2,0,19,1,0,604,2,-1,0,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,1,0,1082,1,0,854,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
42,2,0,1713,1,0,855,2,-1,0,unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
46,3,0,14481,1,0,1269,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
35,2,0,5724,1,0,691,10,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
34,2,0,1451,1,0,1097,15,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32,2,0,-34,1,0,1236,2,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
50,2,0,3674,1,0,886,3,-1,0,unknown,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
35,2,0,698,1,1,1343,3,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
36,2,0,4136,1,0,812,3,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,1,0,2656,1,0,1980,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46,3,0,2904,1,0,984,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,3,0,1004,1,0,228,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,2,0,410,1,0,891,4,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,0,0,1,0,745,12,-1,0,unknown,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
29,3,0,0,1,0,539,12,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
53,2,0,62,1,0,1044,5,-1,0,unknown,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
27,1,0,416,1,0,1193,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39,3,0,2763,1,0,526,2,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
36,2,0,2984,1,0,394,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
41,1,0,143,1,1,659,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
36,1,0,0,1,0,1036,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
32,2,0,696,1,0,815,1,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
35,2,0,152,1,0,563,1,-1,0,unknown,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
36,3,0,-78,1,0,1068,1,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,3,0,867,1,0,230,3,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
30,2,0,953,1,0,747,2,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,2,0,443,1,0,671,5,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
42,2,1,-1129,1,0,555,5,-1,0,unknown,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,1,0,415,1,0,777,4,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
29,2,0,260,1,0,707,14,-1,0,unknown,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44,3,1,-411,1,0,432,4,-1,0,unknown,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
